time,hour,low,mid,high,tempF,pressure,humid,pm25
Wed Sep  2 08:34:31 2020,9,-362.7601346,-358.3603387,-364.3206405
Wed Sep  2 09:36:48 2020,10,-325.1705102,-351.3252372,-364.6748308
Wed Sep  2 09:40:38 2020,10,-325.1923767,-347.2694116,-354.9156977
Wed Sep  2 10:33:33 2020,11,-341.1677471416349,-362.5819028544762,-372.46350626118067
Wed Sep  2 11:33:48 2020,12,-376.2789336548184,-383.02912032355914,-388.9671463016256
Wed Sep  2 12:34:02 2020,13,-353.79216574628606,-371.8359823442483,-371.5532219802442
Wed Sep  2 13:34:17 2020,14,-372.74571439682666,-375.36281792019906,-375.29245158279537
Wed Sep  2 14:34:32 2020,15,-369.02800031111457,-371.5805806175624,-371.3189915999067
Sun Sep  6 17:32:25 2020,18,-358.9400603991597,-376.52619485294116,-379.2986636321194,86,1009.21,34,4.1
Thu Sep 10 16:31:42 2020,17,-395.7487127634751,-401.0886890409893,-402.624021933577,94,1008.82,52,4.3
Thu Sep 10 16:41:43 2020,17,-395.7845959399549,-399.8265769619662,-401.8037042078245,94,1008.73,51,5.1
Thu Sep 10 17:41:59 2020,18,-395.69865442949356,-400.7419771330793,-402.7261394571051,93,1008.24,54,7.7
Fri Sep 11 08:17:54 2020,8,-378.8920626895855,-378.80617173524155,-376.5051120012444,84,1009.19,71,9.5
Fri Sep 11 08:20:09 2020,8,-381.6660165668508,-384.3520144668274,-380.05140196002174,84,1009.22,71,9.2
Fri Sep 11 08:58:42 2020,9,-380.75879676440843,-376.1374484716497,-377.39404410049,85,1009.06,70,9.2
Fri Sep 11 09:18:49 2020,9,-380.9595745508284,-382.8502138912655,-386.3568931321459,87,1009.04,67,9.2
Fri Sep 11 09:38:57 2020,10,-383.5455141168235,-388.99046433849264,-391.00176946410517,88,1009.08,65,8.6
Fri Sep 11 09:59:05 2020,10,-385.34384382048677,-389.14053045033836,-389.5241891576573,90,1009.23,63,9.5
Fri Sep 11 10:19:13 2020,10,-396.4256494516606,-401.1726005288948,-402.7734210935677,90,1009.33,60,7.9
Fri Sep 11 10:39:20 2020,11,-384.2417593528817,-386.0311581239792,-389.0472719141324,91,1009.11,60,7.9
Fri Sep 11 10:59:29 2020,11,-385.14127323636933,-391.18955043944925,-386.1747394415494,91,1009.17,59,7.5
Fri Sep 11 11:19:38 2020,11,-382.5569806331181,-399.33528428093643,-401.19668274091936,92,1009.04,56,6.1
Fri Sep 11 11:39:46 2020,12,-394.7897196079956,-401.53490899898884,-403.1992416582406,93,1008.92,55,6.1
Fri Sep 11 11:59:55 2020,12,-390.9942482694252,-401.03635762619587,-402.7743058256202,92,1008.73,56,5.4
Fri Sep 11 12:20:04 2020,12,-360.81708991211013,-370.6558995099946,-378.07542194913276,91,1008.53,60,5.8
Fri Sep 11 12:40:12 2020,13,-390.81915687952096,-399.54106712296806,-400.9302811697908,89,1008.65,64,5.4
Fri Sep 11 13:00:22 2020,13,-390.76760130668123,-401.12170024111373,-400.5355603951155,90,1008.69,64,4.5
Fri Sep 11 16:06:12 2020,16,-394.9800672785253,-400.737067356304,-402.93184452049474,91,1006.5,57,6.8
Sat Sep 12 12:04:03 2020,12,-387.97632029244767,-399.03378315314615,-387.2717624640274,82,1010.62,66,5.9
Sat Sep 12 12:05:12 2020,12,-388.438597651085,-399.33349731663685,-386.94087462082905,82,1010.59,66,5.6
Sat Sep 12 12:06:20 2020,12,-387.3510130668118,-397.7824511939021,-388.0509644551606,82,1010.59,66,5.6
Sat Sep 12 12:24:29 2020,12,-388.972371081901,-398.97689779886446,-385.6925001944466,83,1010.63,64,7.2
Sat Sep 12 12:26:37 2020,12,-389.2411993466594,-398.7550517227969,-390.2035330948122,83,1010.64,64,7.0
Sat Sep 12 13:25:43 2020,13,-385.2020125223613,-395.0706852298359,-396.4705121723575,84,1010.23,61,8.9
Sat Sep 12 13:26:51 2020,13,-387.5640215446839,-398.16923465816285,-396.48903710041225,84,1010.2,60,9.2
Sat Sep 12 13:27:59 2020,13,-386.80060667340746,-399.8576223069145,-393.55155557283973,84,1010.2,60,9.2
